地名,センター,可燃,食品トレイ,資源,小型破砕,プラスチック,ペットボトル,古紙類
,水 土,水,金,金,金,水2 水4,水3,
,水 土,水,金,金,金,水2 水4,水3,
,水 土,水,金,金,金,水2 水4,水1,
,水 土,水,金,金,金,水1 水3,水4,
,水 土,水,金,金,金,水2 水4,水3,
,月 木,月,水,水,水,月1 月3,月4,
,火 金,金,木,木,木,金2 金4,金1,
,水 土,水,金,金,金,水2 水4,水1,
,月 木,木,火,火,火,木2 木4,木3,
,水3,金2,木1 木3,木1 木3,木1 木3,金2,金1,
,水 土,水,金,金,金,水2 水4,水1,
,火 金,火,木,木,木,火1 火3,金1,
,月 木,月,水,水,水,月2 月4,木1,
,火 金,金,木,木,木,金2 金4,火3,
,火 金,火,木,木,木,火1 火3,金1,
,月 木,月,水,水,水,月1 月3,月2,
,月 木,木,金,金,金,木1 木3,木4,
,月 木,木,金,金,金,木1 木3,木2,
,水 土,水,月,月,月,水2 水4,水1,
,火 金,火,月,月,月,火1 火3,火2,
,火 金,火,木,木,木,火1 火3,金1,
,火 金,火,月,月,月,火1 火3,金3,
,月 木,月,金,金,金,月1 月3,木2,
,月 木,木,水,水,水,木2 木4,月1,
,月 木,木,火,火,火,木2 木4,月2,
,月 木,木,金,金,金,木1 木3,木4,
,水 土,水,金,金,金,水2 水4,水1,
,火 金,火,月,月,月,火1 火3,金3,
,火 金,金,木,木,木,金2 金4,火3,
,月 木,木,金,金,金,木1 木3,木4,
,火 金,金,水,水,水,金1 金3,金2,
,月 木,木,金,金,金,木1 木3,木2,
,月 木,木,金,金,金,木1 木3,木4,
,火 金,金,水,水,水,金1 金3,金2,
,月 木,木,金,金,金,木1 木3,木4,
,月 木,木,金,金,金,木1 木3,木4,
,火 金,金,水,水,水,金1 金3,金2,
,水 土,水,火,火,火,水1 水3,水2,
,月 木,木,火,火,火,木2 木4,木3,
,火 金,金,水,水,水,金1 金3,金2,
,月 木,木,水,水,水,木2 木4,月1,
,火 金,火,月,月,月,火2 火4,火1,
,火 金,火,月,月,月,火2 火4,火1,
,水 土,水,金,金,金,水2 水4,水3,
,月 木,木,金,金,金,木1 木3,木4,
,月 木,月,金,金,金,月1 月3,木2,
,水 土,水,金,金,金,水2 水4,水1,
,月 木,月,火,火,火,月2 月4,月3,
,月 木,月,火,火,火,月2 月4,月3,
,月 木,月,火,火,火,月2 月4,月3,
,月 木,月,火,火,火,月2 月4,月3,
,月 木,木,金,金,金,木1 木3,木4,
,月 木,月,水,水,水,月1 月3,月4,
,月 木,木,金,金,金,木1 木3,木2,
,水 土,水,金,金,金,水1 水3,水4,
,月 木,月,水,水,水,月1 月3,月4,
,水 土,水,月,月,月,水2 水4,水1,
